id,name,address,phone,category,description,lat,lng
1,Kaduna Steel Fabricators,12 Ahmadu Bello Way,08031112221,Manufacturing,Steel fabrication and welding shop running heavy machinery 10 hours daily,10.5231,7.4388
2,Savannah Agro Foods,Plot 5 Zaria Road,08031223344,Food Processing,Agro-processing plant grinding and milling grain daily,10.5503,7.4412
3,Arewa Textile Mills,3 Sultan Road,08165552233,Manufacturing,Textile weaving and dyeing factory,10.5301,7.4512
4,Kaduna Cold Chain Hub,45 Nnamdi Azikiwe Expressway,07030001122,Cold Storage,Central cold storage warehouse for perishables,10.5102,7.4390
5,Cedar City Cold Room,21 Ibrahim Taiwo Road,08132221133,Cold Storage,Cold room facility for meat and fish traders,10.5156,7.4444
6,Royal Crown Hotel,2 Yakubu Gowon Way,09024445566,Hotel,Hotel with conference hall running AC and water pumps all day,10.5210,7.4321
7,Northern Frozen Foods,8 Kachia Road,08036667788,Food Processing,Frozen food production line with blast freezers,10.4912,7.4110
8,Arewa Grand Hotel,10 Nnamdi Azikiwe Expressway,07034445566,Hotel,Full-service hotel with restaurant and laundry,10.5110,7.4270
9,Victory Specialist Hospital,15 Kaduna Refinery Road,08137778899,Hospital,Specialist hospital running 24-hour power dependent equipment,10.5300,7.4622
10,Kaduna Family Hospital,9 Bida Road,09025556677,Hospital,General hospital with round-the-clock operations,10.5177,7.4533
11,Sweetwater Bottling Co,18 Kashim Ibrahim Road,08038889900,Beverage,Bottling and packaging plant for soft drinks,10.5264,7.4388
12,Kaduna Garment Factory,11 Ahmadu Bello Way,07036667788,Manufacturing,Industrial garment sewing and finishing unit,10.5255,7.4401
13,Asa Sachet Water Plant,7 Kachia Road,08139990011,Water Production,Sachet water production and packaging plant,10.4930,7.4155
14,Zaria Road Block Makers,60 Zaria Road,08030001122,Manufacturing,Concrete block and paving stone production yard,10.5560,7.4488
15,Northern Agro Processing Ltd,27 Kachia Road,07032223344,Food Processing,Grain milling and agro processing facility,10.4888,7.4130
16,Cedar Plaza Cold Store,14 Ahmadu Bello Way,08134445566,Cold Storage,Cold storage annex for food wholesalers,10.5240,7.4399
17,Mama Bola Restaurant,23 Yakubu Gowon Way,08037778899,Restaurant,Bustling restaurant cooking with gas and electric ovens 6 hours daily,10.5190,7.4330
18,Taste of Kaduna Eatery,5 Ali Akilu Road,07031112233,Restaurant,Eatery serving breakfast and lunch daily,10.5200,7.4366
19,Spice Garden Restaurant,12 Ibrahim Taiwo Road,08135556677,Restaurant,Restaurant with fridges freezers and AC seating,10.5140,7.4460
